or_id,status
or_31000138,delivered
or_31000139,delivered
or_31000140,delivered
or_31000141,delivered
or_31000142,delivered
or_31000143,returned
or_31000144,delivered
or_31000145,delivered
or_31000146,delivered
or_31000147,delivered
or_31000148,returned
or_31000149,returned
or_31000150,returned
or_31000151,delivered
or_31000152,delivered
or_31000153,delivered
or_31000154,delivered
or_31000155,delivered
or_31000156,delivered
or_31000157,delivered
or_31000158,delivered
or_31000159,delivered
or_31000160,delivered
or_31000161,delivered
or_31000162,returned
or_31000163,delivered
or_31000164,delivered
or_31000165,delivered
or_31000166,delivered
or_31000167,delivered
or_31000168,delivered
or_31000169,delivered
or_31000170,delivered
or_31000171,returned
or_31000172,delivered
or_31000173,delivered
or_31000174,returned
or_31000175,returned
or_31000176,delivered
or_31000177,returned
or_31000178,delivered
or_31000179,delivered
or_31000180,delivered
or_31000181,returned
or_31000182,returned
or_31000183,delivered
or_31000184,delivered
or_31000185,delivered
or_31000186,delivered
or_31000187,delivered
or_31000188,delivered
or_31000189,delivered
or_31000190,returned
or_31000191,delivered
or_31000192,delivered
or_31000193,delivered
or_31000194,returned
or_31000195,delivered
or_31000196,returned
or_31000197,delivered
or_31000198,delivered
or_31000199,returned
or_31000200,delivered
or_31000201,delivered
or_31000202,delivered
or_31000203,delivered
or_31000204,delivered
or_31000205,delivered
or_31000206,returned
or_31000207,delivered
or_31000208,delivered
or_31000209,delivered
or_31000210,delivered
or_31000211,delivered
or_31000212,delivered
or_31000213,delivered
or_31000214,delivered
or_31000215,delivered
or_31000216,delivered
or_31000217,delivered
or_31000218,returned
or_31000219,delivered
or_31000220,delivered
or_31000221,delivered
or_31000222,delivered
or_31000223,delivered
or_31000224,delivered
or_31000225,delivered
or_31000226,delivered
or_31000227,delivered
or_31000228,delivered
or_31000229,returned
or_31000230,delivered
or_31000231,delivered
or_31000232,delivered
or_31000233,delivered
or_31000234,returned
or_31000235,delivered
or_31000236,delivered
or_31000237,delivered
or_31000238,delivered
or_31000239,delivered
or_31000240,delivered
or_31000241,delivered
or_31000242,delivered
or_31000243,delivered
or_31000244,delivered
or_31000245,delivered
or_31000246,delivered
or_31000247,delivered
or_31000248,delivered
or_31000249,delivered
or_31000250,delivered
or_31000251,returned
or_31000252,delivered
or_31000253,delivered
or_31000254,delivered
or_31000255,returned
or_31000256,delivered
or_31000257,delivered
or_31000258,returned
or_31000259,delivered
or_31000260,delivered
or_31000261,delivered
or_31000262,returned
or_31000263,delivered
or_31000264,delivered
or_31000265,delivered
or_31000266,delivered
or_31000267,delivered
or_31000268,delivered
or_31000269,delivered
or_31000270,returned
or_31000271,delivered
or_31000272,returned
or_31000273,delivered
or_31000274,delivered
or_31000275,delivered
or_31000276,returned
or_31000277,delivered
or_31000278,returned
or_31000279,delivered
or_31000280,delivered
or_31000281,returned
or_31000282,returned
or_31000283,delivered
or_31000284,returned
or_31000285,returned
or_31000286,delivered
or_31000287,delivered
or_31000288,delivered
or_31000289,delivered
or_31000290,delivered
or_31000291,delivered
or_31000292,delivered
or_31000293,delivered
or_31000294,returned
or_31000295,delivered
or_31000296,returned
or_31000297,delivered
or_31000298,delivered
or_31000299,delivered
or_31000300,delivered
or_31000301,delivered
or_31000302,returned
or_31000303,returned
or_31000304,returned
or_31000305,returned
or_31000306,returned
or_31000307,delivered
or_31000308,delivered
or_31000309,delivered
or_31000310,delivered
or_31000311,delivered
or_31000312,delivered
or_31000313,delivered
or_31000314,delivered
or_31000315,delivered
or_31000316,returned
or_31000317,delivered
or_31000318,delivered
or_31000319,delivered
or_31000320,delivered
or_31000321,delivered
or_31000322,delivered
or_31000323,delivered
or_31000324,delivered
or_31000325,delivered
or_31000326,delivered
or_31000327,delivered
or_31000328,delivered
or_31000329,returned
or_31000330,delivered
or_31000331,returned
or_31000332,delivered
or_31000333,delivered
or_31000334,delivered
or_31000335,delivered
or_31000336,delivered
or_31000337,delivered
or_31000338,delivered
or_31000339,delivered
or_31000340,delivered
or_31000341,delivered
or_31000342,delivered
or_31000343,delivered
or_31000344,delivered
or_31000345,delivered
or_31000346,delivered
or_31000347,returned
or_31000348,delivered
or_31000349,returned
or_31000350,returned
or_31000351,delivered
or_31000352,delivered
or_31000353,delivered
or_31000354,delivered
or_31000355,delivered
or_31000356,delivered
or_31000357,returned
or_31000358,returned
or_31000359,delivered
or_31000360,delivered
or_31000361,delivered
or_31000362,delivered
or_31000363,delivered
or_31000364,delivered
or_31000365,delivered
or_31000366,delivered
or_31000367,delivered
or_31000368,delivered
or_31000369,delivered
or_31000370,delivered
or_31000371,delivered
or_31000372,returned
or_31000373,delivered
or_31000374,delivered
or_31000375,delivered
or_31000376,delivered
or_31000377,delivered
or_31000378,delivered
or_31000379,delivered
or_31000380,delivered
or_31000381,delivered
or_31000382,delivered
or_31000383,delivered
or_31000384,delivered
or_31000385,delivered
or_31000386,returned
or_31000387,delivered
or_31000388,delivered
or_31000389,delivered
or_31000390,delivered
or_31000391,returned
or_31000391,returned
or_31000392,delivered
or_31000393,delivered
or_31000394,delivered
or_31000395,delivered
or_31000396,delivered
or_31000397,delivered
or_31000398,returned
or_31000399,delivered
or_31000400,delivered
or_31000401,delivered
or_31000402,delivered
or_31000403,delivered
or_31000404,delivered
or_31000405,delivered
or_31000406,delivered
or_31000407,delivered
or_31000408,returned
or_31000409,delivered
or_31000410,delivered
or_31000411,returned
or_31000412,delivered
or_31000413,returned
or_31000413,returned
or_31000414,delivered
or_31000415,delivered
or_31000416,delivered
or_31000417,delivered
or_31000418,delivered
or_31000419,delivered
or_31000420,delivered
or_31000421,delivered
or_31000422,returned
or_31000423,delivered
or_31000424,delivered
or_31000425,delivered
or_31000426,delivered
or_31000427,returned
or_31000428,delivered
or_31000429,delivered
or_31000430,delivered
or_31000431,returned
or_31000432,delivered
or_31000433,returned
or_31000434,delivered
or_31000435,delivered
or_31000436,delivered
or_31000437,delivered
or_31000438,delivered
or_31000439,returned
or_31000440,delivered
or_31000441,returned
or_31000441,returned
or_31000442,delivered
or_31000443,delivered
or_31000444,delivered
or_31000445,delivered
or_31000446,delivered
or_31000447,delivered
or_31000448,returned
or_31000449,delivered
or_31000450,returned
or_31000451,delivered
or_31000452,delivered
or_31000453,returned
or_31000454,delivered
or_31000455,returned
or_31000456,delivered
or_31000457,delivered
or_31000458,returned
or_31000459,delivered
or_31000460,returned
or_31000461,delivered
or_31000462,returned
or_31000463,returned
or_31000464,returned
or_31000465,delivered
or_31000466,delivered
or_31000467,delivered
or_31000468,delivered
or_31000469,delivered
or_31000470,returned
or_31000471,delivered
or_31000472,delivered
or_31000473,delivered
or_31000474,returned
or_31000475,delivered
or_31000476,delivered
or_31000477,delivered
or_31000478,delivered
or_31000479,delivered
or_31000480,delivered
or_31000481,delivered
or_31000482,delivered
or_31000483,delivered
or_31000484,returned
or_31000485,delivered
or_31000486,returned
or_31000487,delivered
or_31000488,delivered
or_31000489,delivered
or_31000490,returned
or_31000491,returned
or_31000492,delivered
or_31000493,returned
or_31000494,delivered
or_31000495,delivered
or_31000496,delivered
or_31000497,delivered
or_31000498,delivered
or_31000499,delivered
or_31000500,delivered
or_31000501,delivered
or_31000502,delivered
or_31000503,delivered
or_31000504,delivered
or_31000505,delivered
or_31000506,delivered
or_31000507,delivered
or_31000508,delivered
or_31000509,delivered
or_31000510,delivered
or_31000511,delivered
or_31000512,delivered
or_31000513,delivered
or_31000514,delivered
or_31000515,delivered
or_31000516,delivered
or_31000517,delivered
or_31000518,delivered
or_31000519,delivered
or_31000520,delivered
or_31000521,delivered
or_31000522,delivered
or_31000523,returned
or_31000524,delivered
or_31000525,delivered
or_31000526,delivered
or_31000527,delivered
or_31000528,delivered
or_31000529,delivered
or_31000530,returned
or_31000531,delivered
or_31000532,delivered
or_31000533,delivered
or_31000534,delivered
or_31000535,delivered
or_31000536,delivered
or_31000537,delivered
or_31000538,delivered
or_31000539,returned
or_31000540,delivered
or_31000541,returned
or_31000542,delivered
or_31000543,delivered
or_31000544,delivered
or_31000545,returned
or_31000546,delivered
or_31000547,delivered
or_31000548,delivered
or_31000549,delivered
or_31000550,returned
or_31000551,returned
or_31000552,delivered
or_31000553,delivered
or_31000554,delivered
or_31000555,delivered
or_31000556,delivered
or_31000557,delivered
or_31000558,delivered
or_31000559,delivered
or_31000560,delivered
or_31000561,delivered
or_31000562,delivered
or_31000563,delivered
or_31000564,delivered
or_31000565,delivered
or_31000566,delivered
or_31000567,delivered
or_31000568,delivered
or_31000569,delivered
or_31000570,delivered
or_31000571,delivered
or_31000572,delivered
or_31000573,delivered
or_31000574,delivered
or_31000575,delivered
or_31000576,delivered
or_31000577,returned
or_31000578,delivered
or_31000579,returned
or_31000580,delivered
or_31000581,delivered
or_31000582,delivered
or_31000583,returned
or_31000583,returned
or_31000584,delivered
or_31000585,delivered
or_31000586,delivered
or_31000587,delivered
or_31000588,delivered
or_31000589,delivered
or_31000590,returned
or_31000591,delivered
or_31000592,delivered
or_31000593,returned
or_31000594,delivered
or_31000595,delivered
or_31000596,delivered
or_31000597,delivered
or_31000598,delivered
or_31000599,delivered
or_31000600,returned
or_31000601,delivered
or_31000602,delivered
or_31000603,returned
or_31000604,delivered
or_31000605,delivered
or_31000606,delivered
or_31000607,delivered
or_31000608,delivered
or_31000609,delivered
or_31000610,delivered
or_31000611,delivered
or_31000612,delivered
or_31000613,delivered
or_31000614,delivered
or_31000615,delivered
or_31000616,delivered
or_31000617,delivered
or_31000618,returned
or_31000619,delivered
or_31000620,delivered
or_31000621,delivered
or_31000622,delivered
or_31000623,delivered
or_31000624,returned
or_31000625,returned
or_31000626,returned
or_31000627,delivered
or_31000628,delivered
or_31000629,delivered
or_31000630,returned
or_31000631,returned
or_31000632,returned
or_31000633,delivered
or_31000634,delivered
or_31000635,delivered
or_31000636,returned
or_31000637,delivered
or_31000638,delivered
or_31000639,delivered
or_31000640,returned
or_31000641,delivered
or_31000642,delivered
or_31000643,delivered
or_31000644,delivered
or_31000645,returned
or_31000646,delivered
or_31000647,delivered
or_31000648,delivered
or_31000649,delivered
or_31000650,delivered
or_31000651,delivered
or_31000652,delivered
or_31000653,delivered
or_31000654,returned
or_31000655,delivered
or_31000656,delivered
or_31000657,delivered
or_31000658,delivered
or_31000659,delivered
or_31000660,delivered
or_31000661,delivered
or_31000662,delivered
or_31000663,delivered
or_31000664,delivered
or_31000665,delivered
or_31000666,delivered
or_31000667,delivered
or_31000668,returned
or_31000669,delivered
or_31000670,delivered
or_31000671,returned
or_31000672,returned
or_31000673,returned
or_31000674,delivered
or_31000675,delivered
or_31000676,delivered
or_31000677,returned
or_31000678,delivered
or_31000679,delivered
or_31000680,returned
or_31000681,delivered
or_31000682,delivered
or_31000683,delivered
or_31000684,delivered
or_31000685,delivered
or_31000686,delivered
or_31000687,delivered
or_31000688,delivered
or_31000689,delivered
or_31000690,delivered
or_31000691,delivered
or_31000692,delivered
or_31000693,delivered
or_31000694,delivered
or_31000695,delivered
or_31000696,delivered
or_31000697,delivered
or_31000698,delivered
or_31000699,returned
or_31000699,returned
or_31000700,delivered
or_31000701,delivered
or_31000702,delivered
or_31000703,delivered
or_31000704,delivered
or_31000705,delivered
or_31000706,returned
or_31000706,returned
or_31000707,delivered
or_31000708,delivered
or_31000709,returned
or_31000710,delivered
or_31000711,delivered
or_31000712,delivered
or_31000713,returned
or_31000714,delivered
or_31000715,delivered
or_31000716,delivered
or_31000717,delivered
or_31000718,delivered
or_31000719,delivered
or_31000720,returned
or_31000721,delivered
or_31000722,delivered
or_31000723,returned
or_31000724,delivered
or_31000725,delivered
or_31000726,delivered
or_31000727,delivered
or_31000728,returned
or_31000729,delivered
or_31000730,returned
or_31000731,returned
or_31000732,delivered
or_31000733,delivered
or_31000734,delivered
or_31000735,delivered
or_31000736,delivered
or_31000737,delivered
or_31000738,delivered
or_31000739,delivered
or_31000740,returned
or_31000741,delivered
or_31000742,returned
or_31000743,delivered
or_31000744,delivered
or_31000745,delivered
or_31000746,delivered
or_31000747,delivered
or_31000748,delivered
or_31000749,delivered
or_31000750,delivered
or_31000751,delivered
or_31000752,delivered
or_31000753,delivered
or_31000754,delivered
or_31000755,returned
or_31000756,delivered
or_31000757,delivered
or_31000758,delivered
or_31000759,delivered
or_31000760,returned
or_31000761,delivered
or_31000762,delivered
or_31000763,delivered
or_31000764,delivered
or_31000765,delivered
or_31000766,delivered
or_31000767,delivered
or_31000768,delivered
or_31000769,delivered
or_31000770,delivered
or_31000771,returned
or_31000772,delivered
or_31000773,delivered
or_31000774,delivered
or_31000775,delivered
or_31000776,delivered
or_31000777,delivered
or_31000778,delivered
or_31000779,delivered
or_31000780,delivered
or_31000781,delivered
or_31000782,returned
or_31000783,delivered
or_31000784,returned
or_31000785,delivered
or_31000786,delivered
or_31000787,delivered
or_31000788,delivered
or_31000789,returned
or_31000790,returned
or_31000791,delivered
or_31000792,delivered
or_31000793,delivered
or_31000794,delivered
or_31000795,delivered
or_31000796,delivered
or_31000797,delivered
or_31000798,returned
or_31000798,returned
or_31000799,delivered
or_31000800,delivered
or_31000801,delivered
or_31000802,delivered
or_31000803,delivered
or_31000804,delivered
or_31000805,returned
or_31000806,returned
or_31000807,delivered
or_31000808,delivered
or_31000809,returned
or_31000810,delivered
or_31000811,delivered
or_31000812,delivered
or_31000813,delivered
or_31000814,delivered
or_31000815,delivered
or_31000816,delivered
or_31000817,delivered
or_31000818,delivered
or_31000819,delivered
or_31000820,delivered
or_31000821,delivered
or_31000822,delivered
or_31000823,delivered
or_31000824,delivered
or_31000825,delivered
or_31000826,delivered
or_31000827,returned
or_31000828,returned
or_31000829,delivered
or_31000830,delivered
or_31000831,delivered
or_31000832,delivered
or_31000833,delivered
or_31000834,delivered
or_31000835,delivered
or_31000836,delivered
or_31000837,delivered
or_31000838,delivered
or_31000839,delivered
or_31000840,returned
or_31000841,returned
or_31000842,delivered
or_31000843,delivered
or_31000844,returned
or_31000845,returned
or_31000846,delivered
or_31000847,returned
or_31000848,delivered
or_31000849,delivered
or_31000850,delivered
or_31000851,delivered
or_31000852,delivered
or_31000853,returned
or_31000854,delivered
or_31000855,delivered
or_31000856,delivered
or_31000857,delivered
or_31000858,delivered
or_31000859,delivered
or_31000860,delivered
or_31000861,delivered
or_31000862,returned
or_31000863,returned
or_31000864,delivered
or_31000865,delivered
or_31000866,returned
or_31000867,delivered
or_31000868,delivered
or_31000869,delivered
or_31000870,returned
or_31000871,delivered
or_31000872,delivered
or_31000873,delivered
or_31000874,delivered
or_31000875,delivered
or_31000876,returned
or_31000877,delivered
or_31000878,delivered
or_31000879,returned
or_31000880,delivered
or_31000881,delivered
or_31000882,delivered
or_31000883,delivered
or_31000884,delivered
or_31000885,delivered
or_31000886,delivered
or_31000887,delivered
or_31000888,returned
or_31000889,returned
or_31000890,delivered
or_31000891,delivered
or_31000892,returned
or_31000893,delivered
or_31000894,returned
or_31000895,delivered
or_31000896,delivered
or_31000897,delivered
or_31000898,delivered
or_31000899,delivered
or_31000900,delivered
or_31000901,delivered
or_31000902,delivered
or_31000903,delivered
or_31000904,delivered
or_31000905,delivered
or_31000906,delivered
or_31000907,delivered
or_31000908,delivered
or_31000909,delivered
or_31000910,delivered
or_31000911,delivered
or_31000912,delivered
or_31000913,delivered
or_31000914,delivered
or_31000915,delivered
or_31000916,delivered
or_31000917,delivered
or_31000918,delivered
or_31000919,delivered
or_31000920,returned
or_31000921,delivered
or_31000922,delivered
or_31000923,delivered
or_31000924,delivered
or_31000925,delivered
or_31000926,delivered
or_31000927,returned
or_31000928,delivered
or_31000929,delivered
or_31000930,delivered
or_31000931,delivered
or_31000932,delivered
or_31000933,delivered
or_31000934,delivered
or_31000935,delivered
or_31000936,delivered
or_31000937,delivered
or_31000938,delivered
or_31000939,delivered
or_31000940,delivered
or_31000941,delivered
or_31000942,returned
or_31000943,delivered
or_31000944,delivered
or_31000945,delivered
or_31000946,delivered
or_31000947,delivered
or_31000948,delivered
or_31000949,returned
or_31000950,delivered
or_31000951,delivered
or_31000952,delivered
or_31000953,delivered
or_31000954,returned
or_31000955,delivered
or_31000956,delivered
or_31000957,delivered
or_31000958,delivered
or_31000959,delivered
or_31000960,delivered
or_31000961,delivered
or_31000962,delivered
or_31000963,returned
or_31000964,delivered
or_31000965,delivered
or_31000966,returned
or_31000967,delivered
or_31000968,delivered
or_31000969,delivered
or_31000970,delivered
or_31000971,delivered
or_31000972,delivered
or_31000973,delivered
or_31000974,delivered
or_31000975,delivered
or_31000976,delivered
or_31000977,delivered
or_31000978,returned
or_31000979,delivered
or_31000980,delivered
or_31000981,delivered
or_31000982,delivered
or_31000983,delivered
or_31000984,delivered
or_31000985,delivered
or_31000986,delivered
or_31000987,returned
or_31000988,delivered
or_31000989,returned
or_31000990,delivered
or_31000991,delivered
or_31000992,delivered
or_31000993,delivered
or_31000994,returned
or_31000995,delivered
or_31000996,delivered
or_31000997,returned
or_31000998,delivered
or_31000999,delivered
or_31001000,delivered
or_31001001,delivered
or_31001002,delivered
or_31001003,delivered
or_31001004,returned
or_31001005,delivered
or_31001006,delivered
or_31001007,delivered
or_31001008,returned
or_31001009,delivered
or_31001010,delivered
or_31001011,delivered
or_31001012,delivered
or_31001013,delivered
or_31001014,returned
or_31001015,delivered
or_31001016,returned
or_31001017,delivered
or_31001018,delivered
or_31001019,delivered
or_31001020,delivered
or_31001021,delivered
or_31001022,delivered
or_31001023,returned
or_31001024,returned
or_31001025,delivered
or_31001026,delivered
or_31001027,delivered
or_31001028,delivered
or_31001029,delivered
or_31001030,delivered
or_31001031,delivered
or_31001032,returned
or_31001033,delivered
or_31001034,delivered
or_31001035,delivered
or_31001036,returned
or_31001037,delivered
or_31001038,delivered
or_31001039,delivered
or_31001040,delivered
or_31001041,delivered
or_31001042,delivered
or_31001043,delivered
or_31001044,delivered
or_31001045,delivered
or_31001046,delivered
or_31001047,delivered
or_31001048,delivered
or_31001049,delivered
or_31001050,returned
or_31001050,returned
or_31001051,returned
or_31001052,returned
or_31001053,delivered
or_31001054,delivered
or_31001055,delivered
or_31001056,delivered
or_31001057,returned
or_31001058,delivered
or_31001059,returned
or_31001060,delivered
or_31001061,delivered
or_31001062,delivered
or_31001063,delivered
or_31001064,delivered
or_31001065,delivered
or_31001066,delivered
or_31001067,delivered
or_31001068,delivered
or_31001069,delivered
or_31001070,delivered
or_31001071,delivered
or_31001072,delivered
or_31001073,delivered
or_31001074,delivered
or_31001075,delivered
or_31001076,delivered
or_31001077,delivered
or_31001078,delivered
or_31001079,delivered
or_31001080,delivered
or_31001081,returned
or_31001082,delivered
or_31001083,delivered
or_31001084,delivered
or_31001085,returned
or_31001086,returned
or_31001087,delivered
or_31001088,returned
or_31001089,delivered
or_31001090,returned
or_31001091,returned
or_31001092,delivered
or_31001093,delivered
or_31001094,delivered
or_31001095,delivered
or_31001096,delivered
or_31001097,delivered
or_31001098,delivered
or_31001099,returned
or_31001100,delivered
or_31001101,returned
or_31001102,returned
or_31001103,delivered
or_31001104,delivered
or_31001105,delivered
or_31001106,returned
or_31001107,delivered
or_31001108,delivered
or_31001109,delivered
or_31001110,returned
or_31001111,delivered
or_31001112,delivered
or_31001113,delivered
or_31001114,delivered
or_31001115,delivered
or_31001116,returned
or_31001117,returned
or_31001117,returned
or_31001118,delivered
or_31001119,delivered
or_31001120,delivered
or_31001121,delivered
or_31001122,delivered
or_31001123,delivered
or_31001124,delivered
or_31001125,delivered
or_31001126,delivered
or_31001127,delivered
or_31001128,delivered
or_31001129,returned
or_31001130,delivered
or_31001131,delivered
or_31001132,delivered
or_31001133,delivered
or_31001134,delivered
or_31001135,delivered
or_31001136,delivered
or_31001137,delivered
or_31001138,delivered
or_31001139,delivered
or_31001140,delivered
or_31001141,delivered
or_31001142,delivered
or_31001143,delivered
or_31001144,returned
or_31001145,delivered
or_31001146,delivered
or_31001147,delivered
or_31001148,delivered
or_31001149,delivered
or_31001150,delivered
or_31001151,delivered
or_31001152,delivered
or_31001153,delivered
or_31001154,returned
or_31001154,returned
or_31001155,delivered
or_31001156,delivered
or_31001157,delivered
or_31001158,delivered
or_31001159,delivered
or_31001160,delivered
or_31001161,delivered
or_31001162,delivered
or_31001163,delivered
or_31001164,returned
or_31001165,delivered
or_31001166,delivered
or_31001167,returned
or_31001168,returned
or_31001169,delivered
or_31001170,delivered
or_31001171,delivered
or_31001172,delivered
or_31001173,delivered
or_31001174,returned
or_31001175,delivered
or_31001176,delivered
or_31001177,returned
or_31001178,delivered
or_31001179,delivered
or_31001180,returned
or_31001181,delivered
or_31001182,delivered
or_31001183,delivered
or_31001184,delivered
or_31001185,delivered
or_31001186,delivered
or_31001187,delivered
or_31001188,delivered
or_31001189,delivered
or_31001190,delivered
or_31001191,delivered
or_31001192,delivered
or_31001193,returned
or_31001194,delivered
or_31001195,delivered
or_31001196,delivered
or_31001197,delivered
or_31001198,delivered
or_31001199,delivered
or_31001200,delivered
or_31001201,returned
or_31001202,delivered
or_31001203,delivered
or_31001204,returned
or_31001205,delivered
or_31001206,delivered
or_31001207,delivered
or_31001208,delivered
or_31001209,returned
or_31001210,delivered
or_31001211,delivered
or_31001212,returned
or_31001213,returned
or_31001214,delivered
or_31001215,delivered
or_31001216,delivered
or_31001217,delivered
or_31001218,delivered
or_31001219,delivered
or_31001220,delivered
or_31001221,returned
or_31001222,delivered
or_31001223,delivered
or_31001224,delivered
or_31001225,delivered
or_31001226,delivered
or_31001227,delivered
or_31001228,delivered
or_31001229,delivered
or_31001230,delivered
or_31001231,delivered
or_31001232,delivered
or_31001233,returned
or_31001234,delivered
or_31001235,delivered
or_31001236,delivered
or_31001237,returned
or_31001238,delivered
or_31001239,delivered
or_31001240,delivered
or_31001241,delivered
or_31001242,returned
or_31001243,delivered
or_31001244,delivered
or_31001245,delivered
or_31001246,returned
or_31001247,delivered
or_31001248,delivered
or_31001249,delivered
or_31001250,delivered
or_31001251,delivered
or_31001252,delivered
or_31001253,delivered
or_31001254,returned
or_31001255,delivered
or_31001256,delivered
or_31001257,delivered
or_31001258,delivered
or_31001259,delivered
or_31001260,delivered
or_31001261,delivered
or_31001262,returned
or_31001263,delivered
or_31001264,delivered
or_31001265,delivered
or_31001266,delivered
or_31001267,returned
or_31001268,delivered
or_31001269,delivered
or_31001270,delivered
or_31001271,delivered
or_31001272,delivered
or_31001273,returned
or_31001274,returned
or_31001275,delivered
or_31001276,delivered
or_31001277,delivered
or_31001278,delivered
or_31001279,delivered
or_31001280,delivered
or_31001281,delivered
or_31001282,delivered
or_31001283,delivered
or_31001284,returned
or_31001285,delivered
or_31001286,delivered
or_31001287,delivered
or_31001288,delivered
or_31001289,delivered
or_31001290,delivered
or_31001291,delivered
or_31001292,delivered
or_31001293,delivered
or_31001294,returned
or_31001295,delivered
or_31001296,delivered
or_31001297,delivered
or_31001298,delivered
or_31001299,delivered
or_31001300,delivered
or_31001301,delivered
or_31001302,delivered
or_31001303,delivered
or_31001304,delivered
or_31001305,delivered
or_31001306,returned
or_31001307,delivered
or_31001308,delivered
or_31001309,returned
or_31001310,delivered
or_31001311,returned
or_31001312,returned
or_31001313,delivered
or_31001314,delivered
or_31001315,delivered
or_31001316,delivered
or_31001317,delivered
or_31001318,delivered
or_31001319,delivered
or_31001320,delivered
or_31001321,delivered
or_31001322,delivered
or_31001323,delivered
or_31001324,delivered
or_31001325,delivered
or_31001326,delivered
or_31001327,delivered
or_31001328,delivered
or_31001329,delivered
or_31001330,delivered
or_31001331,returned
or_31001332,delivered
or_31001333,delivered
or_31001334,returned
or_31001335,delivered
or_31001336,delivered
or_31001337,delivered
or_31001338,delivered
or_31001339,delivered
or_31001340,delivered
or_31001341,delivered
or_31001342,delivered
or_31001343,delivered
or_31001344,delivered
or_31001345,returned
or_31001346,delivered
or_31001347,returned
or_31001348,delivered
or_31001349,delivered
or_31001350,delivered
or_31001351,delivered
or_31001352,delivered
or_31001353,delivered
or_31001354,returned
or_31001355,delivered
or_31001356,delivered
or_31001357,delivered
or_31001358,delivered
or_31001359,delivered
or_31001360,returned
or_31001361,delivered
or_31001362,delivered
or_31001363,delivered
or_31001364,delivered
or_31001365,delivered
or_31001366,delivered
or_31001367,returned
or_31001368,delivered
or_31001369,returned
or_31001370,delivered
or_31001371,delivered
or_31001372,delivered
or_31001373,delivered
or_31001374,delivered
or_31001375,returned
or_31001376,delivered
or_31001377,returned
or_31001378,returned
or_31001379,delivered
or_31001380,delivered
or_31001381,delivered
or_31001382,delivered
or_31001383,delivered
or_31001384,delivered
or_31001385,delivered
or_31001386,returned
or_31001387,delivered
or_31001388,delivered
or_31001389,delivered
or_31001390,returned
or_31001391,delivered
or_31001392,delivered
or_31001393,delivered
or_31001394,delivered
or_31001395,delivered
or_31001396,returned
or_31001397,returned
or_31001398,returned
or_31001399,returned
or_31001400,delivered
or_31001401,delivered
or_31001402,returned
or_31001402,returned
or_31001403,delivered
or_31001404,delivered
or_31001405,delivered
or_31001406,delivered
or_31001407,delivered
or_31001408,delivered
or_31001409,delivered
or_31001410,delivered
or_31001411,delivered
or_31001412,returned
or_31001413,delivered
